n_features,mae,r2
1,3.2614733105469678,0.8938772370217193
3,1.8152808345360811,0.9644862333725286
5,1.5764288967034863,0.9719702165922146
10,1.4872815601735478,0.9754706608812773
15,1.4915057884945109,0.9758236989524396
21,1.5142230758291513,0.9754055591005228
