group,n_features,total_importance,mae_without,mae_increase,relative_increase
Raw Sensors,3,0.04515135897080046,1.636941330659501,0.12314509703108834,8.134852914511638
Cadence MA,4,0.05510315175383074,1.543032430255723,0.02923619662731025,1.9313165126084453
Power MA,4,0.8048300720369748,2.2485532242071904,0.7347569905787776,48.53737737328367
Cadence Lags,5,0.05738605026745429,1.5408157940981386,0.027019560469725867,1.7848875475771784
Power Lags,5,0.03752936697093976,1.4748509921282191,-0.03894524150019363,-2.5726871711687327
